Cutoff_(eV) Kpoint Energy_(eV/ion) Force_(eV/A) Stress_(GPa)
300.0000 3x3x3 -168.52818200000000000000 2.19641 10.099635
300.0000 5x5x5 -168.84021850000000000000 2.03582 7.959012
300.0000 7x7x7 -168.87268850000000000000 2.01008 7.721854
400.0000 3x3x3 -168.52849050000000000000 2.19637 10.071870
500.0000 3x3x3 -168.52860400000000000000 2.19627 10.069829
600.0000 3x3x3 -168.52858050000000000000 2.19622 10.070173
700.0000 3x3x3 -168.52862850000000000000 2.19623 10.069733
